Manufacturer_Trimmed,item_display,Total_Quantity
unknown,subassemblyg,23
unknown,"surgical drapes",150
unknown,"surgical pad",2
unknown,"surgical solution",1
unknown,sutures,60
unknown,swabs,130
unknown,syringe,262
unknown,tape,18
unknown,teaspoon,1
unknown,"tegaderm film",4
unknown,"temperature log tag",1
unknown,"test tube",2944
unknown,"time of death tag packs",17
unknown,toothbrush,1
unknown,"trash bag",2
unknown,tray,57
unknown,tube,964
unknown,tubing,40
unknown,"tuning fork",3
unknown,"upep tube",4
unknown,"urine 24hr protein",37
unknown,"urine collector",21
unknown,"urine cup",5
unknown,"urine sample collectors",15
unknown,"urine sample jars",12
unknown,"urine test instructions",3
unknown,"urine transfer straw kit",6
unknown,vacutainer,18
unknown,"vent tubing",15
unknown,vials,557
unknown,"waist bands",3
unknown,"wash cloth",5
unknown,wires,2
unknown,wrap,1
ultracare,socks,4
tyco,tube,1
triumph,"surgical gloves",1
transpore,tape,10
tranquility,briefs,7
totaltrace,"adult general purpose foam",2
toothete,toothbrush,1
tkmd,needle,403
tkmd,syringe,575
"tidi products","red bag",1
"tidi products","securement device",1
thermosafe,"polar pack (4 small, 2 big)",6
"test equity",gloves,100
terumo,"cardiovascular procedure kit",1
terumo,"glidesheath access kit",1
terumo,"guide wire",1
terumo,"guiding sheath",1
terumo,"introductor sheath",13
terumo,pinnacle,2
terumo,syringe,50
terumo,"tr band",5
tendercare,"infant tether",100
temuro,catheters,4
"tempest therapeutics","biospy collection",14
"tempest therapeutics","blood draw kits",3
"tempest therapeutics",boxes,6
"tempest therapeutics","gene expression collection",14
"tempest therapeutics","kit a: archived tumor collection",6
"tempest therapeutics","kit g: tpst pd collection (2tp)",2
"tempest therapeutics","kit n: ctdna collection",3
"tempest therapeutics","kit s: urine serum plasma and gene expression",1
teleflex,"3 way foley couvelaire tip catherer",1
teleflex,"aerosol face tent",47
teleflex,airway,1
teleflex,"arterial catheter set",15
teleflex,"bladder catheter tiemann",2
teleflex,"blade, rusch standard macintosh #2 (dburmei)",8
teleflex,"blade, rusch standard macintosh #3 (cozmo)",1
teleflex,"blade, rusch standard macintosh #4 (gladysa)",1
teleflex,"blade, rusch standard miller #0 (kigreca)",1
teleflex,"blade, rusch standard miller #1 (cozmo)",1
teleflex,"blade, rusch standard miller #2 (cozmo)",1
teleflex,"blade, rusch standard miller #3",1
teleflex,"catheter mount",1
teleflex,"decannulation stopper",4
teleflex,"disposable endotracheal stylet",1
teleflex,"epidural filter",2
teleflex,"humidifier adapter",1
teleflex,"intubating stylet",1
teleflex,"intubation stylet",2
teleflex,"larygngeal tracheal",1
teleflex,"laryngeal tracheal tubing",1
teleflex,madgic,2
teleflex,masks,10
teleflex,"medium titanium ligating clips",1
teleflex,"nasopharyngeal airway",1
teleflex,"pvc nasopharyngeal airway",25
teleflex,"radial artery catheterization set",1
teleflex,"single-lumen infusion catheter",1
teleflex,tube,10
tegaderm,dressing,1
tegaderm,"iv sticker",1
"technomed europe","disposable single electrode",1
"symmetry surgical","non sterile barrier",1
surgilube,"surgical lubricant",28
surestep,"baby foot cast and shoes",1
surestep,tray,1
sunset,"comfort chinstrap",1
sunmed,introducer,2
sunmed,tube,31
stryker,"bed cable",1
stryker,cloth,24
stryker,"color cuff",1
stryker,"external urine management",2
stryker,microcatheter,1
stryker,nasopore,3
stryker,"neuro guidewire with hydrophilic coating",2
stryker,"primafit device",1
stryker,scissors,4
stryker,sponges,2
stryker,"suction sleeve",18
stryker,"suction swab",1
stryker,tube,1
stryker,"wash cloth",6
storz,"suction valve",3
stomahesive,"protective powder",1
steris,"beside concentrate",1
steelcase,"plastic circle attachments",50
statlock,"catheter stabilization device",4
statlock,"foley stabilization",1
"standard textile",overwear,1
"standard register",paper,1
"st. jude medical","femostop gold femoral compression system",1
"st. jude medical",needle,1
spinocan,needle,2
speedicath,"speedicath compact set",1
sonek,"suction safe",1
"sol m",needle,100
"smiths medical","extension set",1
"smiths medical","female luer",18
"smiths medical","foley catheter",15
"smiths medical","iv catheter",1
"smiths medical","line draw arterial blood sampling kit",2
"smiths medical","luer lock plug",249
"smiths medical","male luer lock",50
"smiths medical",masks,1
"smiths medical",needle,25
"smiths medical",stopcock,50
"smiths medical",syringe,1
"smiths medical",tube,7
"smiths and nephew","allevyn classic",10
"smiths and nephew","allevyn non adhesive",4
"smith and nephew","adhesive remover wipe",8
"smith and nephew","allevyn tracheostomy",1
"smith and nephew",bamdages,205
"smith and nephew","prep pad",5
"smith and nephew",tracheostomy,9
sklar,forceps,102
sklar,"magil cath fcp",1
sklar,"mayo hegar",2
sklar,scissors,45
"simport science","orange sample canister",1
"simply thick","food thickener",3
silverlon,"antimicrobial dressing w silver",1
sigvaris,"basic liner",1
sigvaris,"compelled transition wrap",3
sigvaris,"inelastic wrap",1
shumsky,pillow,1
shiley,"disposable inner cannula",2
shiley,tube,2
sheridan,"uncuffed tracheal tube",1
"sheathes technologies inc","probe cover",75
"sending care ice",gloves,230
scopegliders,glidescope,2
sarstedt,needle,1
sarstedt,"test tube",100
sarstedt,"upep tube",100
"sammons preston","economy hip kit",1
"salter labs","bubble humidifier",3
"salter labs","nasal cannulas",6
"saint johns",nail,1
safeset,tube,2
"rx only","fluid path",1
"richardson products","finger splints",2
restore,"calcium alginate dressing",10
restore,"hydrocolloid dressing",5
respironics,"nose cushion",2
respan,masks,3
radiometer,"arterial blood sampler",10
radiometer,aspirator,1
radiometer,tube,1
radiofocus,glidewire,2
"radifocus glideware","catheter exchange",1
"quintiles laboratories","gel packs",20
"quintiles laboratories","gel wrap",14
"quintiles lab","gel wrap",4
quickclot,"hemostatic dressing",1
pvc,"pvc nasopharyngeal airway",1
puritan,"sterile applicator",20
puritan,"sterile polyester tipped applicators",1
puritan,"sterile rayon tipped applicator",72
procell,battery,1
procare,"arm sling",1
procare,"cervical collar",2
procare,"secure all limb holder",3
prismax,"auto effluent accessory",3
presource,"cysto pack",7
presource,"lumbar puncture",2
presource,tray,1
premier,"enamel pro varnish",200
"precision glide",needle,36
precept,masks,4
posey,"pulse oximeter",12
posey,"wireless chair sensor pad",1
portex,"catheter connector",6
portex,"epidural catheter",10
portex,syringe,2
portex,tube,2
"pleur evac","straight connector",1
philips,"heart start infant/child smart pads cartridge",1
philips,"newborn pacifier",1
philips,"wee soothie (pacifier)",1
phasor,"drill kit",1
phasor,"drill with kit",2
phasor,"phasor drill",1
phasor,tray,5
perifix,"clamp style catheter connector",2
perifix,"pin pad",1
perifix,tray,3
pdi,"iodine swabsticks",10
"pas technology","peripheral orbital system",1
"parker laboratories","probe cover",9
"parker laboratories","ultrasound transmission gel",288
para-pak,"stool specimen cup",1
pampers,diapers,72
pampers,wipes,56
pall,filter,1
"pakistan u",scissors,1
padpro,"infant defibrillator electrodes",1
padpro,"radiotranslucent electrode",1
pace,tube,20
"p&g (pampers)",diapers,5
"p&g (pampers)",underwear,18
"oragene dx","dna kits",7
optiflux,"capillary dialyzer",12
oneshot,"lube packet",5
oncobay,"unscheduled pk",15
olympus,balloons,3
olympus,"thunderbeat 5mm, 35cm front-actuated grip type s",1
oc-auto,"personal belonging bag",7
"novo health services",gown,1
novaplus,bamdages,1
novaplus,"intubating stylet",4
novaplus,"intubating stylet/adult",1
novaplus,towels,1
normject,"norm-ject luer lock solo",75
normject,syringe,14
"norm next",syringe,100
norco,gloves,1
nipro,syringe,508
"nimo ppe","surgical gloves",100
"new world medical","ahmed glaucoma valve",1
neomed,"oral/enteral feed/med",8
neomed,syringe,30
natus,"mini muffs",36
natus,"minimuffs neonatal noise attenuators",55
natus,needle,1
natus,"neonatal noise attenuators",108
namic,"low pressure stopcock",3
namic,"pressure monitoring line",24
"nalge nunc international corporation","specimen containers",3
"mxp fitnessgear","conditioning garment",2
"multiple brands","test tube",150
monoject,needle,23
monoject,syringe,1
monaghan,"peak flow meter",1
monaghan,"tru zone peak flow meter",18
molnlycke,"biogel pi micro",1
molnlycke,"biogel sensor",6
molnlycke,"border heel",3
molnlycke,"border sacrum",1
molnlycke,"foam dressing",8
molnlycke,gloves,10
molnlycke,"mepilex border heel",1
molnlycke,"mepilex lite",3
molnlycke,"surgical gloves",331
molnlycke,underglove,71
miniloc,"infusion set",61
miniloc,"safety infusion set",20
"mini one","extension set",1
micsafe,needle,77
microtek,"fluoroscope drape",9
microtek,"iso drape isolation bag",1
microez,"microintroducer kit",1
"michigan medicine",bras,2
"michigan medicine","lavender inhaler",1
"mhc medical products",needle,2
mh,scale,1
merocel,"sinus-pak drawstring",2
"merit medical","angiographic catheter",2
"merit medical","aspira dressing kit",6
"merit medical","catheter insertion tra",1
"merit medical","contrast delivery set",1
"merit medical","drainage + dressing kit",1
"merit medical","drainage and dressing kit",10
"merit medical","drainage deposit",4
"merit medical","drainage kits",5
"merit medical","dressing kits",10
"merit medical","pleural drainage starter kit",5
"merit medical",stopper,1
"merit medical",tray,5
"merit medical",tubing,4
"merek milipore",bras,10
"mercury medical","adult cpr bag",35
"mercury medical","adult cpr-2 bag",3
"mercury medical","child cpr-2 bag",2
"mercury medical","co2 detectors",4
"mercury medical","cpr bag",1
"mercury medical","cpr-2 bag",2
mepilex,"border heel",10
mepilex,"border post-up",2
mepilex,"silicone foam dressing",1
medtronic,"adhesive pad",15
medtronic,"catheter access port kit",3
medtronic,"catheter valve",1
medtronic,"custom perfusion system",1
medtronic,"dlp perfusion adapter",18
medtronic,"guiding catheter",1
medtronic,"nerve locator",1
medtronic,"oral-nasal co2 filter line",20
medtronic,"otologic lamina",1
medtronic,"radial access catheter",2
medtronic,"single stage benous cannula",2
medtronic,"stylet kit",1
medtronic,"tubing connector",1
medstream,"anti-siphon valve",2
"medpace reference laboratories","specimen collection kit a",9
medline,"4 way stopcock",1
medline,"abdominal pads",60
medline,"alcohol wipes",205
medline,"anti-skid instrument mat",67
medline,bamdages,7
medline,catheters,2
medline,"channel around drain",1
medline,cleanser,5
medline,"comfort touch frame head rest",1
medline,"cotton tipped applicators",25
medline,"cvc dressing kit",8
medline,"elastic net",9
medline,"emesis bags",50
medline,"exam gloves",1441
medline,"foam dressing",10
medline,gauze,218
medline,gloves,69
medline,invisishield,3
medline,"iodine swabsticks",10
medline,"low pressure stopcock",1
medline,"manifold 2-gang 4wy lb wh knob",1
medline,masks,2
medline,"optifoam basic",9
medline,"oral gel",19
medline,padding,5
medline,"poly-lined fenestrated drape",6
medline,"pressure infuser",1
medline,"ring cushion",1
medline,scalpel,100
medline,"skin protectant",1
medline,slippers,15
medline,"soap dishes",1
medline,sponges,1187
medline,"suction catheter",2
medline,"suresite 123+ pad",1
medline,"surgical gloves",56
medline,"surgical skin marker",3
medline,syringe,1
medline,"temperature sensing",1
medline,"tongue depressor",5
medline,"transparent film",51
medline,tray,28
medline,tube,2
medline,"urethral catheter",3
medline,"usg piv kit",17
mediven,"compression stockings",1
medicore,"safety lancets",200
medichoice,"berman airway",20
medichoice,"cleaning enema bag",3
medichoice,"cleansing towlette",23
medichoice,"cohesive bandages",24
medichoice,"cotton tipped applicators",1301
medichoice,diapers,20
medichoice,"exam gloves",300
medichoice,gauze,2
medichoice,"guedel airway",7
medichoice,"impervious stockinette",1
medichoice,"infant heel warmer",26
medichoice,"iv start kit",1
medichoice,masks,1
medichoice,"mouth airway",1
medichoice,"mucus specimen trap",3
medichoice,"neon glasses case",1
medichoice,"oral swabette",12
medichoice,"procedure masks",50
medichoice,"pupil gauge",1
medichoice,sponges,7
medichoice,"staple removal kit",12
medichoice,"suction catheter",3
medichoice,"suction tubing",3
medichoice,syringe,1
medichoice,towels,50
medichoice,tube,1
medichoice,"tubing connector",7
medichoice,underwear,16
"medical action","dressing kits",1
"medical action","suture removal kit",1
"medical action",towels,1
medgyn,"cervical dilator",49
medex,"4 way - stopcock",15
medex,"4-way stopcock",1
medex,"blunt cannula",2
medex,"iv lock",20
medex,"m/f luer lock plug",10
medex,"mini duckbill ck valve",1
medela,"35ml breast milk collection and storage containers",1
medela,"breast milk collection",1
medela,"breast pump kit",1
medela,"quick clean micro-steam bag",10
medchoice,"cohesive bandages",1
medchoice,gloves,780
medchoice,"mucus specimen trap",2
medchoice,"respiratory bags",30
medchoice,"surgical gloves",150
"med pat",phone,1
"med pace","gel packs",8
"mead johnson","graduated nurser",4
mckesson,"alcohol wipes",1073
"maximo set","pulse oximeter",1
masimo,"adhesive sensor",8
masimo,"pediatric pulseox",1
masimo,"pulse oximeter",6
mariner,catheters,10
"mara sb fc",bras,1
manta,"depth locator",5
mallinckrodt,tube,9
magellan,needle,7
madomizer,"bottle atomizer",1
"madhu instruments",bioglo,100
mabis,"urine collector",6
"lure lok",syringe,7
lubri-sil,catheters,1
lincoln,"skin test applicator",1
lawei,"lawei 200 pack",200
lance,scalpel,1
labcorp,"blood test kit",2
labcorp,"specimen collection bag",1
labconnect,"tpst pk collection",11
labconnect,tube,35
kyphon,"cement delivery system and cartridged",1
kyphon,mixer,1
koru,needle,35
kingsystems,diapers,50
kingsystems,"heat and moisture exchanger",1
kingsystems,"sampling line",1
kingsystems,"ventilator circuit",9
"king systems","jackson rees modification",1
"king systems","pediatric breathing citcuit",9
"kids med",masks,1
"kids med",respirator,1
keysurgical,"pipe cleaner",1
kendall,"hydrophilic foam dressing",4
"kenad sg","arm sling",2
kcl,"1000ml canister for infovac and vaculta",1
kci,"1000 ml canister for infov.a.c therapy systems",1
kci,"canister for infovac",1
kci,dressing,4
kci,"granuform dressing",2
kci,"vac granufoam dressing",5
kci,"whitefoam dressing",1
jobst,"facioplasty elastic support",2
"jiangsu changfeng",swabs,1
"izi medical",needle,1
invotec,"silicone sheeting",2
"intuitive surgical","tip cover accessory",1
intersurgical,"oxygen tubing",1
intersurgical,tube,2
integra,"drainage system",1
integra,"lumbar catheter closed tip",1
inhealthtechnologies,tube,1
"inhealth technologies",tube,1
immunostics,"mailing envelope kit",1
"icu medical","6 inch monitoring extension",1
"icu medical","72” arterial pressure tubing",3
"icu medical","arterial pressure tubing",14
"icu medical",catheters,1
"icu medical","cathlab kit",5
"icu medical","continuous spinal drainage kit",1
"icu medical","disposable transducer",1
"icu medical","extension set",9
"icu medical","fluid path",25
"icu medical","iv monitoring kit",2
"icu medical","non-pyrogenic fluid path",13
"icu medical","rotating luer",11
"icu medical","safeset shielded blunt cannula",1
"icu medical","shielded blood cannula",1
"icu medical","smallbore ext set",16
"icu medical",syringe,1
"icu medical","transpacific transposable transducer",1
"icu medical",tube,58
"icu medical","tubing arterial pressure",1
"icu medical","tury set",1
"icp transpac","disposable transducer",1
hytape,tape,6
huggies,diapers,88
"hudson rci","aerosol face tent",1
"hudson rci","intubating stylet",3
"hudson rci",masks,76
"hudson rci",mouthpiece,8
"hudson rci","nasal cannulas",1
"hudson rci",nebulizer,24
"hudson rci","respiration kit",1
"hudson rci",tube,76
"hudson rci","uncuffed tracheal tube",30
"hudson rci","up-draft ii opti-never nebulizer",92
hudson,"nasal cannulas",1
"hr pharmaceuticals","lubricating jelly",1
hollister,adapt,1
hollister,"colostomy bag",20
hollister,"drainable irrigator sleeve",1
hollister,"hollister 40mm",1
hollister,"hydrocolloid dressing",5
hollister,"male incontinence catheter",1
hollister,"ostomy barrier ring pack of 10",2
hollister,"ostomy supplies",1
hollister,"suction pad",1
hollister,"urine specimen collector",2
hollister,"urostomy bag",2
hollister,"urostomy pouch",8
hollister,"vapro plus pocket",1
hollister,"wound drainage catheter with barrier",8
hollister,"wound drainage collector",5
hillrom,"probe cover",101
hillrom,"wall holder",1
hillrom,"wall holder assembly",1
"henry schein",bandaids,200
"henry schein","compressor nebulizer",1
"henry schein","cotton tipped applicators",2209
"henry schein","disposable ear curette",4
"henry schein","flexible fabric strips",200
"henry schein","fob enhanced readability test kit",1
"henry schein",gauze,200
"henry schein",gloves,1600
"henry schein",needle,100
"henry schein","procedure masks",200
"henry schein","sharps disposal with some alcohol wipes inside",1
"henry schein",sponges,750
"henry schein","suture removal kit",1
"henry schein",tape,4190
"henry schein",tray,4
"henkel corporation",detergent,3
"health care logistics inc","security bag",11
havels,needle,1
hartmann,bamdages,1
"harmonic synergy","curved blade with torque wrench",1
halyard,"exam gloves",15
halyard,"foam positioner",1
halyard,gown,1
halyard,masks,100
halyard,"quick check sterilization wrap",1
halyard,slippers,21
halyard,"surgical caps",200
halyard,"ulnar nerve protector",1
halo,"b-lock closed line adaptor",28
halo,"closed line adaptor",10
hakko,needle,2
gurad,"petrolatum dressing",3
"greiner bio-one","bloot collection set",150
"greiner bio-one",needle,12
"greiner bio one","bloot collection set",150
"greiner bio one",tube,1
grafco,"silver nitrate applicators",100
goretex,monofilament,1
gore,"staple line reinforcement",2
"good lite","eye test chart",2
globe,"microscope slides",9
glidwider,tape,5
glidescope,bronchoscope,1
glidescope,glidescope,4
glidescope,"glv 1 stat",8
glidescope,"gvl 1 stat",12
glidescope,"gvl 2 stat",13
gerber,"rice baby food",1
gentherm,"247 pediatric underbody",9
gentherm,gown,1
gentherm,"infant underbody",1
gentherm,"pediatric underbody",10
genotek,"dna kits",5
genmab,"plastic thing with hole in it",35
"gen x",gloves,100
"gen mab","testing kit",5
gem,sutures,8
"ge medical systems","bp cuff",16
"ge medical systems",cords,1
"fresenius medical care","luer lock adapter",1
folysil,coloplast,1
fogarty,"biliary balloon probe",2
floqswabs,swabs,84
"flip lock",needle,50
flexor,"ansel modification",1
"fisher brand",boxes,11
"fisher brand",pipettes,15
"finger shield",needle,250
"fine surgical instrument","mosquito for pets 5’’",1
"ferndale laboratories","liquid adhesive",4
fedex,"large clinical pak",5
falcon,"test tube",11
"fabco ors","dental rolls",8
fabco,gauze,1
ezydose,"pill cutter",1
exactamed,syringe,20
ev3,"balloon system",1
ev3,"snare kit",1
eurofins,catheter/drip,13
eurofins,"test tube",64
ethilon,sutures,12
ethicon,"absorbable hemostat",1
ethicon,"bio patch",1
ethicon,biopatch,12
ethicon,bras,32
ethicon,"coated vicryl",48
ethicon,"dermabond topical skin adhesive",1
ethicon,needle,9
ethicon,"protective disk with chg",11
ethicon,"surgicel fibrillar",1
ethicon,sutures,56
ethicon,"vistaseal laparoscopic dual applicator",6
"essential medical (manta)","vascular closure device",5
enfit,"female luer",1
enfit,syringe,144
enfamil,"210ml bottle",1
emerge,"dilatation catheter",3
"elton medical sapphire","infusion set",1
"eitan medical","infusion set",30
"eitan medical","microbore administration set",28
"eden enterprise","10’’ handle comb",1
ecolab,"fluoroscope drape",1
eclipse,needle,131
eakin,"wound pouches",1
"eab medical","breast binder",1
dynarex,"dyna lube sterile",720
dymex,masks,202
durapore,gauze,9
dura-cuf,"pressure cuff",2
duopress,needle,200
dukal,dressing,8
dukal,gown,10
dukal,swabs,77
dukal,tape,2
dropsafe,needle,75
"dr. brown’s medical","silicone nipples",16
"dr browns","silicone nipples",11
dps,syringe,301
dover,tray,1
dove,"dove bar soap",4
donjoy,"leg braces",1
donjoy,"sully shoulder",1
"dna genotek","dna diagnostic",4
"dna genotek","dna kits",5
djo,"arm sling",1
djo,"secure all limb holder",1
diversey,wipes,160
"dist. tennant packaging corporation","specimen bags",4
"dgp intelsius ltd.",pipettes,200
deroyal,"esophageal stethescope",1
deroyal,"face goggles",1
deroyal,gauze,9
deroyal,"nasopharyngeal temperature probe",2
deroyal,"side shields for prescription glasses",10
deroyal,tape,3
deroyal,"temp probes",1
deroyal,"temperature probe",18
dawnmist,"fluoride toothpaste",10
dart,"cup lids",7000
dart,cups,4000
dart,lids,1000
damaisely,"zipper bag",40
dale,"abdominal binder",3
dale,"leg band",6
dale,tube,18
"da vinci xi","sureform 45 reload",6
"da vinci xi","sureform 60 reload",36
cytosoft,"cytology brush",1000
cyteir,"bone marrow mononuclear cell kit",3
cyteir,"pd biomarker plasma kit",1
curity,sponges,1
curbell,"electrical wire",183
curad,bandaids,2
curad,dressing,1
curad,"oil emulsion dressing",6
curad,"petrolatum dressing",3
curad,"petroleum dressing",3
curad,"plain packing strip",1
curad,tape,1
critikon,"child bp cuff",16
critikon,"dura cuffs",2
critikon,"pressure cuff",27
critikon,"wall manometer adapter",2
covidien,"abdominal pads",17
covidien,"adult cordless patient return electrode",1
covidien,"adult regional saturation sensor",1
covidien,"adult spo2 sensor",2
covidien,"alcohol wipes",2
covidien,"band aid",1
covidien,"beta cap clamp",5
covidien,cannula,12
covidien,clamp,4
covidien,"decannulation plug",1
covidien,"disposable inner cannula",32
covidien,dressing,1
covidien,"dual lumen stomach lube",2
covidien,"electrostatic filter hme",50
covidien,"epump set with flush bag",1
covidien,"flexible yankauer",3
covidien,"foam pad",5
covidien,gauze,14
covidien,"gravity feeding bag",1
covidien,"holter/telemetry pouch",5
covidien,"hydrophilic foam dressing",11
covidien,"infant rem polyhesive",3
covidien,"inner cannula",12
covidien,"inner cannula disposable",1
covidien,kangaroo,17
covidien,"kangaroo enfit transition connector",2
covidien,"milk straw",2
covidien,needle,211
covidien,"nonadherent strips",5
covidien,"nursing pad",1
covidien,"rem polyhesive",3
covidien,"salem sump",3
covidien,"set rallonge",12
covidien,"slim body skin stapler",1
covidien,sponges,1051
covidien,"suction catheter",2
covidien,"suction tubing",1
covidien,syringe,3
covidien,tape,5
covidien,"thoracic catheter",7
covidien,"transition connector",1
covidien,tube,168
covidien,"universal articulating loading unit",1
covidien,vaseline,10
covidien,"y-site extension with enfit connection",1
covance,"sample collection kit",10
covance,"specimen collection bags",100
cops,swabs,400
copan,swabs,622
"cooper surgical","bartholin gland catheter",5
"cooper surgical","cervical dilator",27
"cooper surgical","sample collection kit",6
"cooper surgical","word bartholin gland catheter",2
"cook med","coil expander",1
"cook med","cook chest drainage valve",2
"cook med",dilator,1
"cook med","ebelization coil",2
"cook med","female foley adaptor",8
"cook med","flexor check flo",1
"cook med",forceps,1
"cook med","intubating inducer",5
"cook med","lead clippers",1
"cook med","micropuncture introducer set",5
"cook med",needle,13
"cook med","side-arm introducer",1
"cook med",tray,13
"cook med",tube,3
"cook med","ureternal stent set",1
"cook med","wire guide",7
convex,"deep convex urostomy pouch",1
conveen,"urine collection bag",3
conveen,"urine collection pouch",1
convatec,"duoderm extra thin spots",1
convance,"specimen collection bag",8
controlplus,"homeostatic dressing",1
conmed,"air seal",1
conmed,"cannula cap",1
conmed,"ekg electrodes",23
conmed,fastrace,10
conmed,"medium rtls",20
conmed,"reflex skin stapler",594
conmed,"soft race small rtl",1
conmed,"suction instrument",5
conmed,"suction instrument yankauer",1
conmed,yankauer,3
conmed,"yankaur suction",3
"comfeel plus transparent","hydrocolloid dressing",2
coloplast,"catheter- straight tip pediatric",1
coloplast,conveen,1
coloplast,"foley catheter",1
coloplast,tube,20
"college park, other","prosthetic feet",4
coldstar,"flock heat pack",15
"coflex nl","cohesive bandages",3
codman,"fixed pressure valve",1
coagucheck,"coaguchek xs pt test",1
clia,"drug screen cup",27
"clear link system","solution set",2
clave,adapters,30
chocolate,"ballon catheter",1
"charter medical",syringe,1
cepartner4u,"hoversling repositioning sheet",3
centurion,"driveline management system",7
centurion,forceps,20
centurion,port,1
centurion,"securement device",2
centurion,"sorbaview shield medium",5
centor,"60ml glass bottle and dropper",12
