Pallet,Timestamp,Item,Manufacturer,Quantity,Expiration,Category,Notes,Pallet_Num,Box_Num
,4/7/2024 13:05,3 Way Foley Couvelaire Tip Catherer,Teleflex,1,2/28/3026,"Respiratory care (masks, nebulizer, cannula)",,3,4
,4/7/2024 13:33,Washcloths,Stryker,1,,"Personal Hygiene and Care (including women’s health, and bedpans)",,3,9
,4/7/2024 13:12,Catheter stabilization device ,Statlock,1,10/28/2025,Tubing/Catheters,,3,4
,4/7/2024 13:14,Overwear,Standard Textile,1,,Infant Care,,3,4
,4/7/2024 13:14,Disposable inner cannula ,Shiley ,1,2/17/2028,"Respiratory care (masks, nebulizer, cannula)",,3,4
,4/7/2024 12:52,Bubble Humidifier,Salter labs,1,10/30/2028,"Respiratory care (masks, nebulizer, cannula)",,3,5
,4/7/2024 12:56,Nasal Cannula (adult),Salter Labs,1,9/7/2028,"Respiratory care (masks, nebulizer, cannula)",,3,4
,4/7/2024 13:00,Phasor drill,Phasor Health,1,12/5/2024,Surgical Tools,,3,6
,4/7/2024 13:12,Headphones,No manufacturer listed,1,,Other,,3,B4
,4/7/2024 13:10,Teaspoon,No manufacturer listed,1,,Other,,3,4
,4/7/2024 13:07,Mepilex Border Heel,Molnlycke,1,,Mobility aids,,3,4
,4/7/2024 13:10,Mepilex Lite,Molnlycke,1,6/28/2026,"Wound Care (dressings, sponges, gauze)",,3,4
,4/7/2024 13:07,PI Indicator Underglove,Molnlycke,1,11/29/2026,PPE (Gloves/Masks),,3,Box 4
,4/7/2024 13:00,Pleural Drainage Catheter Insertion Tray,Merit Medical,1,11/30/2024,Tubing/Catheters,,3,Box 7
,4/7/2024 13:28,CPR bag,Mercury medical,1,1/7/2027,"Emergency Response and Resuscitation (CPR, Defibrillators)",,3,10
,4/7/2024 13:07,Silicone foam dressing,Mepilex,1,5/28/2026,"Wound Care (dressings, sponges, gauze)",,3,4
,4/7/2024 13:08,Bordered Gauze,Medline,1,,"Wound Care (dressings, sponges, gauze)",,3,4
,4/7/2024 13:11,Elastic Net,Medline,1,,"Wound Care (dressings, sponges, gauze)",,3,4
,4/7/2024 13:04,Suresite 123+ Pad,Medline,1,,"Wound Care (dressings, sponges, gauze)",,3,4
,4/7/2024 13:07,Transparent film dressing ,Medline,1,,"Wound Care (dressings, sponges, gauze)",,3,4
,4/7/2024 13:02,Adult Tracheostomy Tube Holder,Medichoice,1,,Tubing/Catheters,,3,4
,4/7/2024 13:04,Sleep Mask,Medichoice,1,,PPE (Gloves/Masks),,3,4
,4/7/2024 13:03,Suction tubing,Medichoice,1,1/8/2028,Other,,3,B4
,4/7/2024 13:08,Suction Tubing,Medichoice,1,8/1/2028,Tubing/Catheters,,3,B4
,4/7/2024 12:49,Breast milk collection,Medela,1,2/22/2027,Infant Care,,3,5
,4/7/2024 12:58,Oxygen Mask,Kids med,1,,"Respiratory care (masks, nebulizer, cannula)",,3,6
,4/7/2024 12:57,Nasal Cannula 7ft,Hudson RCI,1,8/23/2028,"Respiratory care (masks, nebulizer, cannula)",,3,4
,4/7/2024 13:05,Ostomy supplies,Hollister,1,1/1/2025,Surgical Tools,,3,B4
,4/7/2024 13:11,Pill Cutter,Ezydose,1,,Other,,3,B4
,4/7/2024 13:05,10’’ Handle Comb,Eden Enterprise,1,,Other,,3,4
,4/7/2024 12:55,Fluoroscope Drape,Ecolab,1,10/1/2027,Surgical Tools,,3,Box 6
,4/7/2024 13:06,Yankauer ,Con Med,1,,Surgical Tools,,3,4
,4/7/2024 13:22,Ballon dilatation catheter ,Boston scientific,1,2/10/2025,Tubing/Catheters,,3,8
,4/7/2024 13:05,10.0 mL Vacutainer,BD,1,,Other,,3,Box 4
,4/7/2024 13:09,Plastipak 3mL syringe,BD,1,11/30/2028,Needles and Syringes,,3,4
,4/7/2024 13:34,Vacutainer,BD,1,1/31/2029,Needles and Syringes,,3,B9
,4/7/2024 13:02,Foley Catheter,Bardex,1,11/30/2026,Tubing/Catheters,,3,4
,4/7/2024 13:03,All-Silicone Foley Catheter,Bard Medical,1,,Tubing/Catheters,,3,4
,4/7/2024 13:21,Catheter,Bard Medical,1,3/28/2024,Surgical Tools,,3,B8
,4/7/2024 12:52,Foley Tray System,Bard Medical,1,1/31/2026,Tubing/Catheters,,3,6
,4/7/2024 13:09,Female luer,AMT,1,2/1/2026,"Personal Hygiene and Care (including women’s health, and bedpans)",,3,4
,4/7/2024 13:11,Nasal tube retaining system ,Amt,1,12/1/2026,Tubing/Catheters,,3,4
,4/7/2024 13:14,VAC Whitefoam Dressing,Acelity,1,9/17/2023,"Wound Care (dressings, sponges, gauze)",,3,4
,3/24/2024 11:42,medical labels,Braun,1,,,has a bunch of different labels,2,24
,3/24/2024 11:36,Swabs,Copan,600,1/31/2024,Other,,2,35
,3/24/2024 11:15,Gauze sponges ,Medline,480,,"Wound Care (dressings, sponges, gauze)",,2,26
,3/24/2024 11:42,Swabs,Cops ,400,,Other,,2,35
,3/24/2024 11:22,Non-woven sponges ,Covidien,1050,,"Wound Care (dressings, sponges, gauze)",,2,34
,3/24/2024 11:40,Blunt Tip Needles,Covidien,200,1/1/2021,Needles and Syringes,,2,30
,3/24/2024 11:23,Cotton tip applicators ,Henry schein,2,9/1/2023,Other,Sterile ,2,33
,3/24/2024 11:42,microscope slides?,No manufacturer listed,1,,,no information was given or labeled ,2,24
,3/24/2024 10:50,drainage kits,Mert Medical ,5,11/30/2023,Tubing/Catheters,,2,14
,3/24/2024 10:50,dressing kits,Mert Medical ,5,11/30/2023,Tubing/Catheters,,2,14
,3/24/2024 10:50,intersection tray,Mert Medical ,1,11/30/2023,Tubing/Catheters,,2,14
,3/24/2024 11:25,Large Swabs,No manufacturer listed,80,,"Wound Care (dressings, sponges, gauze)",,2,30
,3/24/2024 11:26,SafetyGlide Needles,BD,75,8/31/2027,Needles and Syringes,,2,31
,3/24/2024 11:18,Microtainers,No manufacturer listed,50,2/29/2024,Needles and Syringes,,2,30
,3/24/2024 11:36,Microtainers with purple caps,BD,40,,Needles and Syringes,,2,30
,3/24/2024 11:32,Safety Infusin Set,MiniLoc,20,3/5/2024,Tubing/Catheters, i guessed on the number because they were packaged up.,2,30
,3/24/2024 11:12,Blood Collection Tube,BD,800,10/31/2022,Other,,2,29
,3/24/2024 11:08,Insulin Syringes ,BD,250,5/31/2028,Needles and Syringes,,2,26
,3/24/2024 11:55,Vacuntainer test tube ,BD,250,10/31/2022,Tubing/Catheters,,2,37
,3/24/2024 10:58,Enamel Pro Varnish,Premier ,200,2/29/2024,Other,,2,21
,3/24/2024 10:56,2 ft rulers ,Cardinal Health,200,,Other,,2,20
,3/24/2024 12:10,Exam gloves ,Medline,150,11/1/2021,PPE (Gloves/Masks),,2,N/A
,3/24/2024 11:14,Alcohol Prep Pads,Mckesson,142,1/1/2024,,,2,24
,3/24/2024 10:57,Sterile Needle ,BD,112,,Needles and Syringes,Doesn’t have expiration date ,2,4
,3/24/2024 10:51,Sterilization Pouches ,Wipak Medical (Steriking),101,,PPE (Gloves/Masks),,2,5
,3/24/2024 11:12,Sealable Bag,Wipak Medical,100,,Other,,2,26
,3/24/2024 10:55,Ear Thermometer Probe Covers,Hillrom,100,1/4/2024,Other,,2,Box 16
,3/24/2024 11:57,vacuntainer adapter  ,BD,100,10/31/2024,Tubing/Catheters,,2,37
,3/24/2024 11:44,Eclipse Needle ,BD,88,10/31/2025,Needles and Syringes,,2,37
,3/24/2024 11:15,Rectal tube ,Covidien,76,,Tubing/Catheters,,2,27
,3/24/2024 11:00,Safety Glide ,BD,75,2/29/2024,Needles and Syringes,,2,21
,3/24/2024 11:38,Purple Caps,No manufacturer listed,60,,Other,,2,30
,3/24/2024 11:09,Minimuffs neonatal noise attenuators,Natus ,55,3/24/2024,Infant Care,,2,22
,3/24/2024 10:43,Stopcock,Smiths Medical ,50,8/7/2033,Tubing/Catheters,Pallet 2 ,2,9
,3/24/2024 10:44,Male luer lock,Smiths medical,50,8/7/2026,Tubing/Catheters,Pallet 2,2,8
,3/24/2024 11:41,Nose Swabs,FLOQSwabs,50,11/30/2023,Other,,2,31
,3/24/2024 10:56,Electrostatic filter HME,Covidien,50,7/1/2028,"Respiratory care (masks, nebulizer, cannula)",,2,18
,3/24/2024 11:33,Injection Needle,BD,50,12/31/2023,Needles and Syringes,They came in one box as 50 needles.,2,30
,3/24/2024 11:55,Large Swabs,No manufacturer listed,50,,"Wound Care (dressings, sponges, gauze)",There was another entry for this in this box,2,30
,3/24/2024 10:50,Cervical Dilator,MedGyn ,49,,"Personal Hygiene and Care (including women’s health, and bedpans)",No expiration date ,2,4
,3/24/2024 10:42,"Preformed, uncuffed trachael tube, nasal",Hudson RCI,45,,Tubing/Catheters,Doesn’t have expiration date,2,4
,3/24/2024 12:05,Vacutainer,BD,44,1/31/2025,,,2,37
,3/24/2024 10:55,10 mL syringe ,BD,41,7/31/2027,Needles and Syringes,,2,20
,3/24/2024 12:06,Blood Collection Set,No manufacturer listed,38,2/28/2025,Tubing/Catheters,,2,37
,3/24/2024 10:42,Neonatal Noise Attenuators ,Natus ,36,8/13/2023,Infant Care,,2,2
,3/24/2024 10:46,Mini Muffs,Natus,36,8/13/0203,Infant Care,,2,12
,3/24/2024 10:46,Neonatal Noise Attenuators,Natus,36,8/13/2023,Infant Care,2,2,13
,3/24/2024 10:39,Neonatal Noise Attenuators ,Natus,36,8/13/2023,Infant Care,Pallet 2,2,1
,3/24/2024 11:07,Surgical Gloves,Molnlycke ,31,12/28/2023,,,2,24
,3/24/2024 10:45,Extra Absorbant Abdominal Pad (8 x 10 in),Medline,31,,"Wound Care (dressings, sponges, gauze)",,2,5
,3/24/2024 11:38,"Uncuffed Tracheal Tube, Oral",Hudson RCI,30,2/18/2024,"Respiratory care (masks, nebulizer, cannula)",,2,31
,3/24/2024 11:16,SafetyGlide Needle,BD,30,9/30/2027,Needles and Syringes,,2,31
,3/24/2024 11:10,Tur series tubing set ,Baxter,29,8/1/2016,Tubing/Catheters,Not sure if this was expiration date but it’s the only date on here ,2,27
,3/24/2024 11:17,Surgical Lubricant ,Surgilube,27,1/31/2024,,,2,24
,3/24/2024 11:45,Small Adult Mask,No manufacturer listed,27,7/31/2012,"Respiratory care (masks, nebulizer, cannula)",,2,31
,3/24/2024 11:10,Cervical Dilator,Cooper Surgical,27,2/18/2024,,,2,24
,3/24/2024 11:19,Safety Infusion Set,MiniLoc,25,7/27/2025,Tubing/Catheters,,2,30
,3/24/2024 11:05,Fluid path,ICU Medical,25,3/1/2028,Tubing/Catheters,,2,26
,3/24/2024 12:06,Blood Collection set (Safety lok),BD,25,3/31/2025,Needles and Syringes,,2,37
,3/24/2024 12:06,Vacutainer,BD,25,4/30/2025,Needles and Syringes,,2,37
,3/24/2024 12:07,Vacutainer,BD,25,7/31/2024,Needles and Syringes,,2,37
,3/24/2024 11:35,Radial Artery Cathetherization Set ,Arrow,25,11/30/2028,Tubing/Catheters,They came in one box with 25,2,30
,3/24/2024 11:20,Pediatric ear tips ,Welch allyn,24,,Other,,2,33
,3/24/2024 11:05,Pressure monitoring line,Namic,24,12/13/2026,Tubing/Catheters,,2,22
,3/24/2024 11:21,PVC Nasopharyngeal Airway,Teleflex,23,7/28/2027,"Respiratory care (masks, nebulizer, cannula)",,2,31
,3/24/2024 11:09,Cleansing Towlette,Medichoice,23,9/18/2026,"Wound Care (dressings, sponges, gauze)",,2,26
,3/24/2024 11:49,Precision needle ,BD,23,6/30/2028,Needles and Syringes,,2,30
,3/24/2024 11:45,5.5 mm tracheal Tube,Hudson RCI,22,1/15/2024,Tubing/Catheters,,2,35
,3/24/2024 11:37,PricisionGlide Needle,BD,22,12/31/2028,Needles and Syringes,,2,30
,3/24/2024 12:07,Blood Collection Set (Safety Lok),BD,21,8/31/2024,Needles and Syringes,,2,37
,3/24/2024 11:01,Sterile Applicator,Puritan,20,1/1/2028,"Wound Care (dressings, sponges, gauze)",,2,21
,3/24/2024 10:42,Oral-nasal co2 filter line ,Medtronic,20,,Tubing/Catheters,Pallet 2,2,8
,3/24/2024 11:30,Oral Syringes,ExactaMed,20,,Needles and Syringes,,2,30
,3/24/2024 11:20,Nerve block set,Braun,20,11/30/2023,Needles and Syringes,,2,30
,3/24/2024 10:52,Non-DEHP Extension Set,Baxter,20,,Tubing/Catheters,,2,19
,3/24/2024 11:28,iris scissors curved 4.5,Sklar,19,2/20/2026,,has different expiration dates for different scissors ,2,24
,3/24/2024 11:33,Double Female Luer Lock ,Smiths Medical ,18,6/28/2024,Other,,2,32
,3/24/2024 11:49,Tru Zone Peak Flow Meter,Monaghan,18,,"Diagnostic and Monitoring Equipment (BP cuffs, oximeters)",,2,31
,3/24/2024 11:48,Hard plastic foot braces small child size,Cascade,18,,,,2,38
,3/24/2024 11:21,Interlink System,Baxter,18,,Tubing/Catheters,,2,30
,3/24/2024 10:59,Tegaderm ,3M,18,11/6/2026,"Wound Care (dressings, sponges, gauze)",,2,5
,3/24/2024 11:47,General Purpose Temperature Prove ,DeRoyal,17,8/24/2023,Other,,2,30
,3/24/2024 11:33,BP Cuff,GE Medical Systems,16,,"Diagnostic and Monitoring Equipment (BP cuffs, oximeters)",,2,31
,3/24/2024 11:59,Vacutainer,No manufacturer listed,16,6/30/2024,Needles and Syringes,,2,37
,3/24/2024 11:35,Arterial Catheter Set,Teleflex,15,12/31/2026,Tubing/Catheters,,2,35
,3/24/2024 11:30,Berman Airway,Medichoice,15,4/25/2022,"Respiratory care (masks, nebulizer, cannula)",,2,31
,3/24/2024 11:09,Flock Heat Pack,Coldstar,15,3/1/2024,,,2,24
,3/24/2024 12:06,Vacutainer ,BD,15,11/30/2024,Needles and Syringes,,2,37
,3/24/2024 11:46,Disposable Inner Cannula,Covidien,14,2/19/2024,Tubing/Catheters,,2,35
,3/24/2024 10:42,Safety Infusion Set,Bard Medical,14,6/6/2026,Tubing/Catheters,Pallet is number 2,2,8
,3/24/2024 11:47,foam inserts ,No manufacturer listed,14,,,,2,38
,3/24/2024 11:05,Adult CPR bag ,Mercury medical ,13,4/12/2028,"Emergency Response and Resuscitation (CPR, Defibrillators)",,2,25
,3/24/2024 11:24,Adult Aerosol Mask,Hudson RCI,13,10/4/2028,PPE (Gloves/Masks),,2,15
,3/24/2024 11:58,Vacutainer,BD,13,12/31/0024,,,2,37
,3/24/2024 10:41,Capillary Dialyzer,Optiflux,12,1/31/2027,Other,Pallet 2 ,2,2
,3/24/2024 11:43,Black Braided Non-Absorbable Suture,Ethicon,12,8/31/2024,"Wound Care (dressings, sponges, gauze)",,2,31
,3/24/2024 12:05,Vacutainer,BD,12,9/30/2024,Needles and Syringes,,2,37
,3/24/2024 10:52,"Smallbore Ext Set, Clamp, Rotating Luer (8.5 mL) ",ICU Medical,11,8/1/2028,Tubing/Catheters,,2,5
,3/24/2024 11:37,Spinocan Spinal Needle (varying sizes and expiration) ,Braun ,11,8/31/2024,Needles and Syringes,,2,32
,3/24/2024 12:05,Vacutainer ,BD,11,12/31/2022,Tubing/Catheters,,2,37
,3/24/2024 11:08,Tourniquet Dispo Cuff,VBM Medizintechnik,10,9/1/2027,"Diagnostic and Monitoring Equipment (BP cuffs, oximeters)",,2,28
,3/24/2024 11:44,Arterial Blood Sampler,Radiometer,10,11/23/2025,Needles and Syringes,,2,30
,3/24/2024 11:44,Bags with flexiband ties,No manufacturer listed,10,,PPE (Gloves/Masks),,2,30
,3/24/2024 11:28,Blue Caps/Gowns,No manufacturer listed,10,,PPE (Gloves/Masks),,2,30
,3/24/2024 11:05,Containers,No manufacturer listed,10,,"Personal Hygiene and Care (including women’s health, and bedpans)",,2,16
,3/24/2024 11:14,Biopatch ,Ethicon,10,3/31/2024,"Diagnostic and Monitoring Equipment (BP cuffs, oximeters)",,2,29
,3/24/2024 10:41,Sutures,Ethicon,10,,Surgical Tools,Pallet 2,2,8
,3/24/2024 11:07,Hydrophilic Foam Dressing,Covidien,10,6/30/2028,PPE (Gloves/Masks),,2,26
,3/24/2024 11:32,touhy epidural needle ,Braun,10,1/31/2025,,different gauges and different lengths ,2,24
,3/24/2024 11:23,Extension set ,BD,10,4/7/2025,Tubing/Catheters,,2,30
,3/24/2024 10:56,extension set (mini bore) ,BD,10,1/6/2029,Tubing/Catheters,,2,5
,3/24/2024 11:20,MiniLoc Safety Infusion Set,Bard Medical,10,11/15/2022,Tubing/Catheters,,2,30
,3/24/2024 10:39,Drainage and Dressing Kits,Aspira,10,11/30/2024,"Wound Care (dressings, sponges, gauze)",2,2,6
,3/24/2024 10:39,Nasal Tracheal Tube ,No manufacturer listed,10,10/30/2028,"Respiratory care (masks, nebulizer, cannula)",Pallet 2,2,Box 9
,3/24/2024 10:45,Flexible Karman Cannula,WomanCare Global,9,,"Personal Hygiene and Care (including women’s health, and bedpans)",Doesn’t have expiration date ,2,4
,3/24/2024 10:56,Fluoroscope Drape,Microtek,9,10/1/2027,PPE (Gloves/Masks),,2,16
,3/24/2024 11:36,Adult CPR bag,Mercury Medical,9,4/6/2024,"Emergency Response and Resuscitation (CPR, Defibrillators)",,2,22
,3/24/2024 11:37,Adult CPR Bag,Mercury Medical,9,4/6/2024,"Emergency Response and Resuscitation (CPR, Defibrillators)",Said these were 22 but actually are 36,2,36
,3/24/2024 11:04,Tracheal Tube,Mallinckrodt,9,,Tubing/Catheters,,2,23
,3/24/2024 11:58,Vacutainer ,BD,9,8/31/2024,Needles and Syringes,,2,37
,3/24/2024 11:24,Endotracheal Tube Introducer,SunMed,8,6/4/2024,Tubing/Catheters,,2,30
,3/24/2024 11:18,Adhesive Remover Wipe,Smith and Nephew ,8,,,,2,24
,3/24/2024 10:43,Polyisoprene surgical gloves ,Molnlycke,8,11/28/2033,PPE (Gloves/Masks),,2,4
,3/24/2024 11:28,Adhesive sensor,Masimo ,8,11/1/2026,"Diagnostic and Monitoring Equipment (BP cuffs, oximeters)",,2,30
,3/24/2024 10:47,Patient Slippers ,Halyard ,8,,"Personal Hygiene and Care (including women’s health, and bedpans)",,2,5
,3/24/2024 11:04,Tracheostomy Tube Holder,Dale,8,6/30/2028,Tubing/Catheters,2,2,16
,3/24/2024 10:55,Graduated Suction Catheter with Chimney Valve,Cardinal Health,8,,Tubing/Catheters,"The catheters were the same item but from different companies, so i counted them as one.",2,19
,3/24/2024 11:23,Autoguard,BD,8,5/9/0026,Other,,2,30
,3/24/2024 10:50,Bifuse Entension Set,BD,8,2/8/2027,,,2,9
,3/24/2024 10:58,Disposable briefs,Tranquility,7,,"Personal Hygiene and Care (including women’s health, and bedpans)",,2,20
,3/24/2024 11:09,Abdominal Pad,Medline,7,,"Wound Care (dressings, sponges, gauze)",,2,26
,3/24/2024 11:26,Thoracic Catheter ,Covidien,7,3/31/2024,Tubing/Catheters,,2,30
,3/24/2024 11:48,Per cutaneous Entry Thinwall Needle,Cook Med,7,12/11/2023,Needles and Syringes,,2,30
,3/24/2024 11:41,"Insulated Echogenic Needle (20 Ga, varying sizes and expiration) ",Braun ,7,1/31/2024,Needles and Syringes,,2,32
,3/24/2024 11:22,Extension Set,BD,7,1/6/2029,Tubing/Catheters,,2,30
,3/24/2024 11:28,iris straight scissors ,Sklar,6,3/1/2026,,,2,24
,3/24/2024 11:02,Surgical Scissors,Sklar,6,10/12/2026,Surgical Tools,,2,23
,3/24/2024 11:24,Mini Pans,No manufacturer listed,6,,"Personal Hygiene and Care (including women’s health, and bedpans)",,2,30
,3/24/2024 10:55,Polychloroprene Surgical Gloves ( Biogel Skinsense) ,Molnlycke,6,10/28/2026,PPE (Gloves/Masks),,2,5
,3/24/2024 11:43,Tracheal Tube,Hudson RCI,6,2/18/2024,Tubing/Catheters,,2,35
,3/24/2024 11:39,Pencan Pencil Point Spinal Needle (varying sizes and expiration),Braun ,6,12/31/2024,Needles and Syringes,,2,32
,3/24/2024 11:27,Spinocan spinal needle 22 Ga,Braun ,6,10/31/2024,Needles and Syringes,,2,22
,3/24/2024 11:42,Tuohy Epidural Needle ,Braun ,6,8/31/2024,Needles and Syringes,,2,32
,3/24/2024 11:42,"Insulated Echogenic Needle (22Ga, various inches)",BRAUN,6,2/28/2025,Needles and Syringes,,2,32
,3/24/2024 11:31,Touhy epidural needle 3.15 inch,Braun,6,2/28/2025,,has different gauges ,2,24
,3/24/2024 11:39,Insyte Autoguard,BD,6,7/31/2026,Needles and Syringes,,2,30
,3/24/2024 11:11,Uromatic Tur series set ,Baxter,6,,Tubing/Catheters,,2,27
,3/24/2024 10:52,Arterial line kit ,Arrow ,6,1/31/2026,Surgical Tools,,2,4
,3/24/2024 11:24,Face Shield ,No manufacturer listed,5,,PPE (Gloves/Masks),,2,32
,3/24/2024 11:34,Lace up boots ,No manufacturer listed,5,,Mobility aids,Potentially for amputees,2,34
,3/24/2024 11:21,Yellow sponges ,No manufacturer listed,5,,"Wound Care (dressings, sponges, gauze)",No expiration date ,2,29
,3/24/2024 10:47,Drainage and dressing kit ,Merit Medical ,5,4/20/2022,Tubing/Catheters,,2,11
,3/24/2024 10:52,Drainage and dressing kits ,Merit Medical,5,4/5/2024,Tubing/Catheters,,2,17
,3/24/2024 12:11,Dressing kit ,Merit medical,5,12/12/2022,"Wound Care (dressings, sponges, gauze)",,2,N/A
,3/24/2024 11:18,Wound drainage collector ,Hollister,5,1/7/2028,Tubing/Catheters,,2,29
,3/24/2024 11:25,Cloth surgical tape ,Henry schein ,5,,Surgical Tools,,2,33
,3/24/2024 11:24,bartholin gland catheter ,Cooper Surgical ,5,1/31/2023,,,2,24
,3/24/2024 11:11,Intubating Inducer ,Cook Med,5,1/6/2024,Tubing/Catheters,,2,29
,3/24/2024 11:02,Precision glide needle ,BD,5,12/31/2028,Needles and Syringes,,2,20
,3/24/2024 11:57,PrecisionGlide Needle,BD,5,8/31/2028,Needles and Syringes,,2,30
,3/24/2024 11:49,SafetyGlide 1 ml syringe ,BD,5,12/31/2027,Needles and Syringes,,2,32
,3/24/2024 11:35,Thoracic Catheter,Atrium,5,4/30/2024,Tubing/Catheters,,2,30
,3/24/2024 11:50,ankle brace?,No manufacturer listed,5,,,no information given ,2,38
,3/24/2024 11:13,Decannulation stopper  ,Teleflex ,4,,Other,,2,27
,3/24/2024 11:35,Cords,No manufacturer listed,4,,"Diagnostic and Monitoring Equipment (BP cuffs, oximeters)",,2,31
,3/24/2024 11:28,Aspira Dressing Kit ,Merit Medical ,4,12/27/2022,"Wound Care (dressings, sponges, gauze)",,2,32
,3/24/2024 11:05,Drainage Deposit,Merit Medical,4,10/23/2026,Tubing/Catheters,,2,26
,3/24/2024 10:48,Adult CPR bag ,Mercury Medical,4,6/17/2024,"Emergency Response and Resuscitation (CPR, Defibrillators)",,2,15
,3/24/2024 11:04,Foley Catheter Leg Band ,Dale ,4,6/30/2026,"Wound Care (dressings, sponges, gauze)",,2,5
,3/24/2024 11:43,Trach tube,Covidien,4,5/1/2023,Tubing/Catheters,,2,35
,3/24/2024 11:39,Trach Tube ,Covidien,4,5/1/2023,Tubing/Catheters,,2,35
,3/24/2024 10:57,Tracheal Tube,Covidien,4,10/12/2025,Tubing/Catheters,,2,23
,3/24/2024 11:38,ECG electrode ,Con Med,4,5/30/2024,Other,,2,30
,3/24/2024 11:47,Prosthetic Feet,"College park, other ",4,,,,2,38
,3/24/2024 11:25,Spinocan spinal needle,Braun,4,10/31/2024,Needles and Syringes,,2,22
,3/24/2024 11:25,Check Valve,BD,4,6/26/2026,Tubing/Catheters,,2,30
,3/24/2024 10:53,Pump Infusion Set (15 Micron Filter) ,BD,4,2/24/2026,Tubing/Catheters,,2,5
,3/24/2024 11:47,Smart sure Gravity Set,BD,4,6/26/2026,Tubing/Catheters,,2,31
